Timestamp,1QI1202B SENSOR TSP,1QI1202B.LAB_PH_OSA SENSOR TSP
03:50.0,7.945,7.9
04:20.0,7.933,7.9
05:50.0,7.933,7.9
06:20.0,7.921,7.9
06:50.0,7.933,7.9
09:20.0,7.933,7.9
09:50.0,7.945,7.9
10:20.0,7.957,7.9
11:20.0,7.957,7.9
11:50.0,7.94,7.9
12:20.0,7.94,7.9
12:50.0,7.952,7.9
15:50.0,7.952,7.9
16:20.0,7.938,7.9
16:50.0,7.95,7.9
17:20.0,7.95,7.9
17:50.0,7.938,7.9
19:50.0,7.938,7.9
20:20.0,7.94,7.9
20:50.0,7.952,7.9
21:50.0,7.952,7.9
22:20.0,7.936,7.9
23:20.0,7.936,7.9
23:50.0,7.947,7.9
24:50.0,7.947,7.9
25:20.0,7.959,7.9
26:20.0,7.959,7.9
26:50.0,7.933,7.9
27:50.0,7.933,7.9
28:20.0,7.947,7.9
32:20.0,7.947,7.9
32:50.0,7.959,7.9
33:50.0,7.959,7.9
34:20.0,7.947,7.9
37:50.0,7.947,7.9
38:20.0,7.933,7.9
38:50.0,7.945,7.9
39:20.0,7.956,7.9
39:50.0,7.956,7.9
40:20.0,7.94,7.9
40:50.0,7.94,7.9
41:20.0,7.954,7.9
42:20.0,7.954,7.9
42:50.0,7.942,7.9
43:20.0,7.94,7.9
46:50.0,7.94,7.9
47:20.0,7.952,7.9
49:20.0,7.952,7.9
49:50.0,7.938,7.9
51:20.0,7.938,7.9
51:50.0,7.95,7.9
52:20.0,7.962,7.9
53:50.0,7.962,7.9
54:20.0,7.938,7.9
54:50.0,7.952,7.9
55:20.0,7.966,7.9
55:50.0,7.966,7.9
56:20.0,7.955,7.9
57:20.0,7.955,7.9
57:50.0,7.943,7.9
58:20.0,7.943,7.9
58:50.0,7.954,7.9
59:20.0,7.954,7.9
59:50.0,7.943,7.9
01:50.0,7.943,7.9
02:20.0,7.956,7.9
03:20.0,7.956,7.9
03:50.0,7.943,7.9
06:20.0,7.943,7.9
06:50.0,7.954,7.9
12:20.0,7.954,7.9
12:50.0,7.938,7.9
13:50.0,7.938,7.9
14:20.0,7.95,7.9
14:50.0,7.95,7.9
15:20.0,7.964,7.9
16:50.0,7.964,7.9
17:20.0,7.953,7.9
18:50.0,7.953,7.9
19:20.0,7.963,7.9
19:50.0,7.952,7.9
24:20.0,7.952,7.9
24:50.0,7.964,7.9
25:20.0,7.964,7.9
25:50.0,7.952,7.9
28:20.0,7.952,7.9
28:50.0,7.966,7.9
29:20.0,7.966,7.9
29:50.0,7.954,7.9
30:20.0,7.944,7.9
30:50.0,7.954,7.9
31:50.0,7.954,7.9
32:20.0,7.942,7.9
33:20.0,7.942,7.9
33:50.0,7.962,7.9
34:20.0,7.951,7.9
35:20.0,7.951,7.9
35:50.0,7.962,7.9
39:20.0,7.962,7.9
39:50.0,7.973,7.9
40:20.0,7.973,7.9
40:50.0,7.961,7.9
42:50.0,7.961,7.9
43:20.0,7.95,7.9
44:20.0,7.95,7.9
44:50.0,7.964,7.9
45:20.0,7.95,7.9
45:50.0,7.962,7.9
46:20.0,7.962,7.9
46:50.0,7.95,7.9
47:20.0,7.95,7.9
47:50.0,7.938,7.9
48:20.0,7.964,7.9
48:50.0,7.952,7.9
49:20.0,7.952,7.9
49:50.0,7.964,7.9
50:20.0,7.964,7.9
50:50.0,7.952,7.9
52:20.0,7.952,7.9
52:50.0,7.94,7.9
53:20.0,7.938,7.9
53:50.0,7.938,7.9
54:20.0,7.926,7.9
54:50.0,7.938,7.9
55:20.0,7.95,7.9
55:50.0,7.95,7.9
56:20.0,7.938,7.9
56:50.0,7.938,7.9
57:20.0,7.927,7.9
57:50.0,7.938,7.9
02:20.0,7.938,7.9
02:50.0,7.95,7.9
03:20.0,7.95,7.9
03:50.0,7.938,7.9
04:20.0,7.95,7.9
08:20.0,7.95,7.9
08:50.0,7.938,7.9
10:20.0,7.938,7.9
10:50.0,7.95,7.9
11:20.0,7.938,7.9
12:50.0,7.938,7.9
13:20.0,7.952,7.9
13:50.0,7.938,7.9
14:50.0,7.938,7.9
15:20.0,7.952,7.9
15:50.0,7.938,7.9
16:20.0,7.926,7.9
16:50.0,7.926,7.9
17:20.0,7.955,7.9
17:50.0,7.938,7.9
18:50.0,7.938,7.9
19:20.0,7.935,7.9
19:50.0,7.95,7.9
20:20.0,7.964,7.9
20:50.0,7.952,7.9
21:20.0,7.933,7.9
21:50.0,7.933,7.9
22:20.0,7.91,7.9
22:50.0,7.936,7.9
23:20.0,7.936,7.9
23:50.0,7.912,7.9
24:20.0,7.912,7.9
24:50.0,7.924,7.9
25:50.0,7.924,7.9
26:20.0,7.914,7.9
26:50.0,7.926,7.9
28:20.0,7.926,7.9
28:50.0,7.912,7.9
29:50.0,7.912,7.9
30:20.0,7.924,7.9
30:50.0,7.935,7.9
31:20.0,7.945,7.9
31:50.0,7.931,7.9
32:20.0,7.931,7.9
32:50.0,7.919,7.9
33:20.0,7.919,7.9
33:50.0,7.93,7.9
34:20.0,7.907,7.9
35:20.0,7.907,7.9
35:50.0,7.919,7.9
37:20.0,7.919,7.9
37:50.0,7.933,7.9
38:20.0,7.932,7.9
38:50.0,7.943,7.9
39:20.0,7.943,7.9
39:50.0,7.931,7.9
40:50.0,7.931,7.9
41:20.0,7.947,7.9
41:50.0,7.949,7.9
42:20.0,7.949,7.9
42:50.0,7.938,7.9
43:50.0,7.938,7.9
44:20.0,7.943,7.9
44:50.0,7.955,7.9
45:20.0,7.955,7.9
45:50.0,7.931,7.9
46:20.0,7.945,7.9
47:20.0,7.945,7.9
47:50.0,7.924,7.9
48:20.0,7.924,7.9
48:50.0,7.937,7.9
49:20.0,7.937,7.9
49:50.0,7.921,7.9
50:50.0,7.921,7.9
51:20.0,7.91,7.9
51:50.0,7.921,7.9
52:20.0,7.933,7.9
52:50.0,7.921,7.9
53:50.0,7.921,7.9
54:20.0,7.935,7.9
58:50.0,7.935,7.9
59:20.0,7.948,7.9
59:50.0,7.938,7.9
02:20.0,7.938,7.9
02:50.0,7.926,7.9
03:20.0,7.942,7.9
04:20.0,7.942,7.9
04:50.0,7.946,7.9
05:20.0,7.936,7.9
05:50.0,7.936,7.9
06:20.0,7.947,7.9
07:20.0,7.947,7.9
07:50.0,7.933,7.9
08:20.0,7.945,7.9
08:50.0,7.945,7.9
09:20.0,7.933,7.9
09:50.0,7.945,7.9
10:20.0,7.931,7.9
11:50.0,7.931,7.9
12:20.0,7.942,7.9
13:20.0,7.942,7.9
13:50.0,7.928,7.9
14:20.0,7.928,7.9
14:50.0,7.952,7.9
15:20.0,7.949,7.9
15:50.0,7.949,7.9
16:20.0,7.938,7.9
16:50.0,7.938,7.9
17:20.0,7.927,7.9
17:50.0,7.917,7.9
18:20.0,7.928,7.9
18:50.0,7.942,7.9
19:20.0,7.954,7.9
19:50.0,7.957,7.9
20:20.0,7.931,7.9
20:50.0,7.914,7.9
21:20.0,7.931,7.9
22:20.0,7.931,7.9
22:50.0,7.914,7.9
23:50.0,7.914,7.9
24:20.0,7.942,7.9
24:50.0,7.942,7.9
25:20.0,7.928,7.9
25:50.0,7.931,7.9
26:20.0,7.931,7.9
26:50.0,7.92,7.9
27:20.0,7.931,7.9
27:50.0,7.931,7.9
28:20.0,7.919,7.9
28:50.0,7.931,7.9
29:50.0,7.931,7.9
30:20.0,7.919,7.9
30:50.0,7.942,7.9
31:20.0,7.956,7.9
33:50.0,7.956,7.9
34:20.0,7.945,7.9
34:50.0,7.945,7.9
35:20.0,7.933,7.9
37:20.0,7.933,7.9
37:50.0,7.945,7.9
38:50.0,7.945,7.9
39:20.0,7.931,7.9
40:50.0,7.931,7.9
41:20.0,7.942,7.9
43:20.0,7.942,7.9
43:50.0,7.956,7.9
46:20.0,7.956,7.9
46:50.0,7.945,7.9
47:20.0,7.933,7.9
48:20.0,7.933,7.9
48:50.0,7.947,7.9
49:20.0,7.961,7.9
49:50.0,7.947,7.9
50:50.0,7.947,7.9
51:20.0,7.959,7.9
51:50.0,7.945,7.9
52:20.0,7.945,7.9
52:50.0,7.957,7.9
53:20.0,7.945,7.9
55:20.0,7.945,7.9
55:50.0,7.933,7.9
57:20.0,7.933,7.9
57:50.0,7.921,7.9
58:50.0,7.921,7.9
59:20.0,7.921,7.9
59:50.0,7.938,7.9
00:50.0,7.938,7.9
01:20.0,7.949,7.9
01:50.0,7.949,7.9
02:20.0,7.962,7.9
03:50.0,7.962,7.9
04:20.0,7.95,7.9
04:50.0,7.961,7.9
06:20.0,7.961,7.9
06:50.0,7.975,7.9
07:50.0,7.975,7.9
08:20.0,7.987,7.9
08:50.0,7.976,7.9
09:20.0,7.976,7.9
09:50.0,7.961,7.9
34:20.0,7.942,7.9
34:50.0,7.942,7.9
35:20.0,7.954,7.9
35:50.0,7.941,7.9
36:20.0,7.952,7.9
36:50.0,7.952,7.9
37:20.0,7.94,7.9
37:50.0,7.952,7.9
38:20.0,7.94,7.9
38:50.0,7.919,7.9
39:20.0,7.945,7.9
39:50.0,7.921,7.9
40:20.0,7.912,7.9
40:50.0,7.956,7.9
41:20.0,7.919,7.9
41:50.0,7.956,7.9
42:20.0,7.956,7.9
42:50.0,7.926,7.9
43:20.0,7.926,7.9
43:50.0,7.914,7.9
44:20.0,7.914,7.9
44:50.0,7.957,7.9
45:20.0,7.94,7.9
45:50.0,7.926,7.9
46:20.0,7.947,7.9
46:50.0,7.922,7.9
47:20.0,7.922,7.9
47:50.0,7.936,7.9
48:20.0,7.936,7.9
48:50.0,7.922,7.9
49:50.0,7.922,7.9
50:20.0,7.911,7.9
50:50.0,7.933,7.9
51:20.0,7.933,7.9
51:50.0,7.945,7.9
52:20.0,7.932,7.9
52:50.0,7.917,7.9
54:50.0,7.917,7.9
55:20.0,7.929,7.9
55:50.0,7.929,7.9
56:20.0,7.94,7.9
56:50.0,7.94,7.9
57:20.0,7.919,7.9
58:50.0,7.919,7.9
59:20.0,7.934,7.9
59:50.0,7.959,7.9
00:20.0,7.959,7.9
00:50.0,7.945,7.9
01:20.0,7.945,7.9
01:50.0,7.931,7.9
03:50.0,7.931,7.9
04:20.0,7.945,7.9
05:50.0,7.945,7.9
06:20.0,7.957,7.9
06:50.0,7.945,7.9
07:20.0,7.945,7.9
07:50.0,7.956,7.9
08:20.0,7.943,7.9
09:50.0,7.943,7.9
10:20.0,7.956,7.9
10:50.0,7.946,7.9
11:20.0,7.946,7.9
11:50.0,7.959,7.9
12:20.0,7.959,7.9
12:50.0,7.945,7.9
13:20.0,7.961,7.9
13:50.0,7.947,7.9
15:50.0,7.947,7.9
16:20.0,7.936,7.9
17:20.0,7.936,7.9
17:50.0,7.948,7.9
19:20.0,7.948,7.9
19:50.0,7.95,7.9
20:50.0,7.95,7.9
21:20.0,7.938,7.9
22:20.0,7.938,7.9
22:50.0,7.926,7.9
25:20.0,7.926,7.9
25:50.0,7.914,7.9
26:20.0,7.914,7.9
26:50.0,7.938,7.9
27:20.0,7.94,7.9
28:20.0,7.94,7.9
28:50.0,7.956,7.9
29:20.0,7.94,7.9
29:50.0,7.958,7.9
30:50.0,7.958,7.9
31:20.0,7.945,7.9
31:50.0,7.957,7.9
32:20.0,7.945,7.9
33:20.0,7.945,7.9
33:50.0,7.962,7.9
34:20.0,7.962,7.9
34:50.0,7.949,7.9
37:20.0,7.949,7.9
37:50.0,7.933,7.9
38:20.1,7.933,7.9
38:50.1,7.944,7.9
40:20.0,7.944,7.9
40:50.0,7.954,7.9
41:50.0,7.954,7.9
42:20.0,7.942,7.9
44:20.0,7.942,7.9
44:50.0,7.941,7.9
46:20.0,7.941,7.9
46:50.0,7.928,7.9
47:20.0,7.928,7.9
47:50.0,7.943,7.9
48:20.0,7.943,7.9
48:50.0,7.957,7.9
49:50.0,7.957,7.9
50:20.0,7.94,7.9
50:50.0,7.94,7.9
51:20.0,7.956,7.9
52:20.0,7.956,7.9
52:50.0,7.942,7.9
53:20.0,7.959,7.9
56:50.0,7.959,7.9
57:20.0,7.973,7.9
57:50.0,7.962,7.9
58:20.0,7.952,7.9
01:50.0,7.952,7.9
02:20.0,7.966,7.9
02:50.0,7.952,7.9
03:20.0,7.964,7.9
04:20.0,7.964,7.9
04:50.0,7.951,7.9
07:20.0,7.951,7.9
07:50.0,7.964,7.9
09:20.0,7.964,7.9
09:50.0,7.952,7.9
10:20.0,7.964,7.9
10:50.0,7.952,7.9
11:20.0,7.965,7.9
12:50.0,7.965,7.9
13:20.0,7.947,7.9
13:50.0,7.959,7.9
14:20.0,7.959,7.9
14:50.0,7.948,7.9
15:20.0,7.959,7.9
15:50.0,7.959,7.9
16:20.0,7.962,7.9
16:50.0,7.962,7.9
17:20.0,7.973,7.9
17:50.0,7.959,7.9
18:20.0,7.959,7.9
18:50.0,7.931,7.9
19:20.0,7.919,7.9
19:50.0,7.931,7.9
21:20.0,7.931,7.9
21:50.0,7.952,7.9
22:20.0,7.952,7.9
22:50.0,7.942,7.9
23:20.0,7.931,7.9
23:50.0,7.917,7.9
24:20.0,7.917,7.9
24:50.0,7.928,7.9
25:50.0,7.928,7.9
26:20.0,7.914,7.9
27:50.0,7.914,7.9
28:20.0,7.94,7.9
28:50.0,7.928,7.9
29:20.0,7.94,7.9
29:50.0,7.928,7.9
32:20.0,7.928,7.9
32:50.0,7.94,7.9
33:20.0,7.94,7.9
33:50.0,7.927,7.9
34:20.0,7.938,7.9
34:50.0,7.949,7.9
35:20.0,7.938,7.9
35:50.0,7.949,7.9
36:50.0,7.949,7.9
37:20.0,7.938,7.9
37:50.0,7.94,7.9
39:20.0,7.94,7.9
39:50.0,7.952,7.9
40:50.0,7.952,7.9
41:20.0,7.938,7.9
41:50.0,7.938,7.9
42:20.0,7.94,7.9
42:50.0,7.914,7.9
43:20.0,7.927,7.9
44:20.0,7.927,7.9
44:50.0,7.942,7.9
45:20.0,7.932,7.9
45:50.0,7.945,7.9
46:20.0,7.931,7.9
46:50.0,7.941,7.9
47:20.0,7.954,7.9
47:50.0,7.954,7.9
48:20.0,7.94,7.9
49:20.0,7.94,7.9
49:50.0,7.924,7.9
50:20.0,7.94,7.9
50:50.0,7.93,7.9
51:20.0,7.93,7.9
51:50.0,7.914,7.9
52:20.0,7.914,7.9
52:50.0,7.927,7.9
53:20.0,7.914,7.9
53:50.0,7.914,7.9
54:20.0,7.924,7.9
57:50.0,7.924,7.9
58:20.0,7.936,7.9
00:20.0,7.936,7.9
00:50.0,7.924,7.9
01:20.0,7.924,7.9
01:50.0,7.936,7.9
02:20.0,7.936,7.9
02:50.0,7.924,7.9
03:20.0,7.942,7.9
03:50.0,7.942,7.9
04:20.0,7.954,7.9
04:50.0,7.938,7.9
05:20.0,7.938,7.9
05:50.0,7.961,7.9
06:20.0,7.936,7.9
06:50.0,7.936,7.9
07:20.0,7.921,7.9
07:50.0,7.957,7.9
08:20.0,7.928,7.9
08:50.0,7.903,7.9
09:20.0,7.914,7.9
09:50.0,7.903,7.9
10:20.0,7.886,7.9
10:50.0,7.886,7.9
11:20.0,7.873,7.9
11:50.0,7.873,7.9
12:20.0,7.884,7.9
13:20.0,7.884,7.9
13:50.0,7.895,7.9
14:20.0,7.879,7.9
14:50.0,7.891,7.9
16:20.0,7.891,7.9
16:50.0,7.907,7.9
17:20.0,7.907,7.9
17:50.0,7.919,7.9
18:20.0,7.934,7.9
18:50.0,7.921,7.9
19:20.0,7.933,7.9
19:50.0,7.933,7.9
20:20.0,7.95,7.9
20:50.0,7.938,7.9
21:20.0,7.938,7.9
21:50.0,7.952,7.9
22:20.0,7.938,7.9
22:50.0,7.95,7.9
23:20.0,7.936,7.9
23:50.0,7.936,7.9
24:20.0,7.924,7.9
24:50.0,7.935,7.9
25:20.0,7.92,7.9
26:50.0,7.92,7.9
27:20.0,7.91,7.9
29:20.0,7.91,7.9
29:50.0,7.921,7.9
30:20.0,7.909,7.9
30:50.0,7.92,7.9
31:20.0,7.908,7.9
32:20.0,7.908,7.9
32:50.0,7.925,7.9
33:20.0,7.936,7.9
33:50.0,7.924,7.9
34:50.0,7.924,7.9
35:20.0,7.936,7.9
36:20.0,7.936,7.9
36:50.0,7.96,7.9
37:20.0,7.96,7.9
37:50.0,7.945,7.9
38:50.0,7.945,7.9
39:20.0,7.943,7.9
39:50.0,7.943,7.9
40:20.0,7.946,7.9
41:20.0,7.946,7.9
41:50.0,7.948,7.9
42:20.0,7.948,7.9
42:50.0,7.935,7.9
43:20.0,7.935,7.9
43:50.0,7.947,7.9
44:20.0,7.947,7.9
44:50.0,7.936,7.9
46:20.0,7.936,7.9
46:50.0,7.921,7.9
47:20.0,7.921,7.9
47:50.0,7.934,7.9
49:20.0,7.934,7.9
49:50.0,7.921,7.9
50:20.0,7.921,7.9
50:50.0,7.936,7.9
51:20.0,7.947,7.9
51:50.0,7.947,7.9
53:20.0,7.947,7.9
53:50.0,7.948,7.9
54:20.0,7.959,7.9
54:50.0,7.947,7.9
55:50.0,7.947,7.9
56:20.0,7.948,7.9
56:50.0,7.942,7.9
57:20.0,7.942,7.9
57:50.0,7.959,7.9
58:20.0,7.947,7.9
58:50.0,7.945,7.9
59:20.0,7.959,7.9
59:50.0,7.936,7.9
00:20.0,7.961,7.9
00:50.0,7.961,7.9
01:20.0,7.95,7.9
01:50.0,7.918,7.9
02:20.0,7.947,7.9
02:50.0,7.936,7.9
03:20.0,7.936,7.9
03:50.0,7.95,7.9
04:20.0,7.95,7.9
04:50.0,7.938,7.9
05:20.0,7.938,7.9
05:50.0,7.95,7.9
06:20.0,7.938,7.9
07:20.0,7.938,7.9
07:50.0,7.926,7.9
08:20.0,7.938,7.9
08:50.0,7.926,7.9
11:20.0,7.926,7.9
11:50.0,7.938,7.9
14:20.0,7.938,7.9
14:50.0,7.926,7.9
15:20.0,7.914,7.9
15:50.0,7.926,7.9
16:50.0,7.926,7.9
17:20.0,7.938,7.9
17:50.0,7.95,7.9
18:20.0,7.95,7.9
18:50.0,7.961,7.9
19:20.0,7.95,7.9
19:50.0,7.938,7.9
20:50.0,7.938,7.9
21:20.0,7.951,7.9
22:50.0,7.951,7.9
23:20.0,7.962,7.9
23:50.0,7.947,7.9
25:50.0,7.947,7.9
26:20.0,7.936,7.9
27:20.0,7.936,7.9
27:50.0,7.924,7.9
28:20.0,7.936,7.9
29:20.0,7.936,7.9
29:50.0,7.95,7.9
30:50.0,7.95,7.9
31:20.0,7.938,7.9
31:50.0,7.938,7.9
32:20.0,7.926,7.9
32:50.0,7.936,7.9
33:20.0,7.947,7.9
33:50.0,7.962,7.9
34:20.0,7.962,7.9
34:50.0,7.945,7.9
37:50.0,7.945,7.9
38:20.0,7.959,7.9
38:50.0,7.959,7.9
39:20.0,7.947,7.9
39:50.0,7.945,7.9
40:50.0,7.945,7.9
41:20.0,7.933,7.9
41:50.0,7.933,7.9
42:20.0,7.945,7.9
42:50.0,7.973,7.9
43:20.0,7.946,7.9
43:50.0,7.962,7.9
44:20.0,7.962,7.9
44:50.0,7.95,7.9
47:20.0,7.95,7.9
47:50.0,7.962,7.9
48:20.0,7.962,7.9
48:50.0,7.947,7.9
49:20.0,7.936,7.9
49:50.0,7.936,7.9
50:20.0,7.947,7.9
50:50.0,7.947,7.9
51:20.0,7.936,7.9
51:50.0,7.946,7.9
52:20.0,7.957,7.9
52:50.0,7.943,7.9
54:20.0,7.943,7.9
54:50.0,7.942,7.9
55:50.0,7.942,7.9
56:20.0,7.929,7.9
56:50.0,7.943,7.9
59:50.0,7.943,7.9
00:20.0,7.954,7.9
00:50.0,7.954,7.9
01:20.0,7.943,7.9
01:50.0,7.957,7.9
02:20.0,7.957,7.9
02:50.0,7.937,7.9
03:20.0,7.962,7.9
03:50.0,7.95,7.9
04:20.0,7.936,7.9
05:20.0,7.936,7.9
05:50.0,7.924,7.9
06:20.0,7.936,7.9
07:20.0,7.936,7.9
07:50.0,7.947,7.9
09:20.0,7.947,7.9
09:50.0,7.936,7.9
11:20.0,7.936,7.9
11:50.0,7.947,7.9
12:20.0,7.936,7.9
13:50.0,7.936,7.9
14:20.0,7.947,7.9
15:20.0,7.947,7.9
15:50.0,7.959,7.9
16:20.0,7.937,7.9
16:50.0,7.937,7.9
17:20.0,7.91,7.9
18:20.0,7.91,7.9
18:50.0,7.926,7.9
19:50.0,7.926,7.9
20:20.0,7.914,7.9
20:50.0,7.914,7.9
21:20.0,7.926,7.9
21:50.0,7.94,7.9
22:50.0,7.94,7.9
23:20.0,7.929,7.9
23:50.0,7.943,7.9
24:50.0,7.943,7.9
25:20.0,7.931,7.9
25:50.0,7.947,7.9
26:20.0,7.948,7.9
26:50.0,7.936,7.9
28:50.0,7.936,7.9
29:20.0,7.922,7.9
29:50.0,7.934,7.9
30:20.0,7.948,7.9
30:50.0,7.931,7.9
31:50.0,7.931,7.9
32:20.0,7.919,7.9
32:50.0,7.931,7.9
34:20.0,7.931,7.9
34:50.0,7.948,7.9
35:20.0,7.936,7.9
35:50.0,7.913,7.9
36:20.0,7.927,7.9
36:50.0,7.917,7.9
37:20.0,7.921,7.9
37:50.0,7.921,7.9
38:20.0,7.94,7.9
39:20.0,7.94,7.9
39:50.0,7.929,7.9
40:20.0,7.929,7.9
40:50.0,7.943,7.9
41:50.0,7.943,7.9
42:20.0,7.931,7.9
43:50.0,7.931,7.9
44:20.0,7.943,7.9
45:20.0,7.943,7.9
45:50.0,7.955,7.9
46:20.0,7.943,7.9
47:50.0,7.943,7.9
48:20.0,7.94,7.9
48:50.0,7.929,7.9
49:20.0,7.917,7.9
49:50.0,7.917,7.9
50:20.0,7.933,7.9
50:50.0,7.92,7.9
51:20.0,7.935,7.9
51:50.0,7.935,7.9
52:20.0,7.947,7.9
52:50.0,7.943,7.9
53:20.0,7.931,7.9
53:50.0,7.924,7.9
54:20.0,7.935,7.9
54:50.0,7.924,7.9
56:20.0,7.924,7.9
56:50.0,7.94,7.9
57:20.0,7.929,7.9
57:50.0,7.94,7.9
58:20.0,7.929,7.9
58:50.0,7.942,7.9
59:20.0,7.942,7.9
59:50.0,7.931,7.9
01:50.0,7.931,7.9
02:20.0,7.945,7.9
03:20.0,7.945,7.9
03:50.0,7.928,7.9
04:20.0,7.953,7.9
04:50.0,7.943,7.9
05:20.0,7.931,7.9
05:50.0,7.942,7.9
07:20.0,7.942,7.9
07:50.0,7.931,7.9
08:20.0,7.943,7.9
08:50.0,7.955,7.9
09:20.0,7.95,7.9
09:50.0,7.95,7.9
10:20.0,7.936,7.9
10:50.0,7.921,7.9
11:20.0,7.91,7.9
11:50.0,7.933,7.9
12:20.0,7.919,7.9
13:50.0,7.919,7.9
14:20.0,7.933,7.9
15:20.0,7.933,7.9
15:50.0,7.921,7.9
16:20.0,7.91,7.9
16:50.0,7.91,7.9
17:20.0,7.922,7.9
17:50.0,7.922,7.9
18:20.0,7.933,7.9
18:50.0,7.961,7.9
19:20.0,7.945,7.9
19:50.0,7.95,7.9
20:20.0,7.928,7.9
21:20.0,7.928,7.9
21:50.0,7.917,7.9
22:20.0,7.935,7.9
22:50.0,7.919,7.9
23:20.0,7.931,7.9
23:50.0,7.928,7.9
24:20.0,7.94,7.9
24:50.0,7.94,7.9
25:20.0,7.926,7.9
25:50.0,7.914,7.9
26:50.0,7.914,7.9
27:20.0,7.926,7.9
27:50.0,7.91,7.9
28:20.0,7.924,7.9
28:50.0,7.936,7.9
29:20.0,7.936,7.9
29:50.0,7.929,7.9
30:20.0,7.926,7.9
30:50.0,7.938,7.9
31:20.0,7.922,7.9
31:50.0,7.922,7.9
32:20.0,7.935,7.9
32:50.0,7.924,7.9
33:20.0,7.955,7.9
33:50.0,7.954,7.9
34:20.0,7.938,7.9
34:50.0,7.938,7.9
35:20.0,7.95,7.9
36:20.0,7.95,7.9
36:50.0,7.924,7.9
37:20.0,7.919,7.9
37:50.0,7.943,7.9
38:50.0,7.943,7.9
39:20.0,7.931,7.9
39:50.0,7.948,7.9
40:20.0,7.948,7.9
40:50.0,7.959,7.9
41:20.0,7.947,7.9
41:50.0,7.926,7.9
43:20.0,7.926,7.9
43:50.0,7.914,7.9
44:20.0,7.901,7.9
44:50.0,7.916,7.9
45:20.0,7.938,7.9
45:50.0,7.924,7.9
46:20.0,7.924,7.9
46:50.0,7.943,7.9
47:20.0,7.943,7.9
47:50.0,7.954,7.9
48:20.0,7.943,7.9
48:50.0,7.943,7.9
49:20.0,7.931,7.9
50:50.0,7.931,7.9
51:20.0,7.943,7.9
52:20.0,7.943,7.9
52:50.0,7.931,7.9
53:20.0,7.959,7.9
53:50.0,7.94,7.9
54:20.0,7.94,7.9
54:50.0,7.951,7.9
55:20.0,7.938,7.9
55:50.0,7.938,7.9
56:20.0,7.917,7.9
56:50.0,7.931,7.9
57:50.0,7.931,7.9
58:20.0,7.917,7.9
58:50.0,7.917,7.9
59:20.0,7.95,7.9
59:50.0,7.95,7.9
00:20.0,7.938,7.9
00:50.0,7.966,7.9
01:20.0,7.948,7.9
02:20.0,7.948,7.9
02:50.0,7.947,7.9
03:20.0,7.947,7.9
03:50.0,7.959,7.9
04:20.0,7.945,7.9
04:50.0,7.944,7.9
05:20.0,7.943,7.9
05:50.0,7.954,7.9
07:50.0,7.954,7.9
08:20.0,7.94,7.9
10:50.0,7.94,7.9
11:20.0,7.952,7.9
11:50.0,7.94,7.9
12:20.0,7.94,7.9
12:50.0,7.927,7.9
13:20.0,7.938,7.9
13:50.0,7.955,7.9
14:50.0,7.955,7.9
15:20.0,7.938,7.9
15:50.0,7.938,7.9
16:20.0,7.933,7.9
17:20.0,7.933,7.9
17:50.0,7.948,7.9
18:20.0,7.948,7.9
18:50.0,7.936,7.9
20:20.0,7.936,7.9
20:50.0,7.938,7.9
21:20.0,7.938,7.9
21:50.0,7.95,7.9
22:20.0,7.95,7.9
22:50.0,7.936,7.9
23:20.0,7.948,7.9
23:50.0,7.948,7.9
24:20.0,7.962,7.9
25:20.0,7.962,7.9
25:50.0,7.943,7.9
26:20.0,7.943,7.9
26:50.0,7.931,7.9
27:20.0,7.943,7.9
27:50.0,7.943,7.9
28:20.0,7.955,7.9
29:20.0,7.955,7.9
29:50.0,7.943,7.9
30:20.0,7.956,7.9
30:50.0,7.943,7.9
31:20.0,7.931,7.9
31:50.0,7.95,7.9
32:20.0,7.95,7.9
32:50.0,7.962,7.9
33:20.0,7.955,7.9
33:50.0,7.955,7.9
34:20.0,7.943,7.9
34:50.0,7.933,7.9
35:20.0,7.933,7.9
35:50.0,7.919,7.9
36:50.0,7.919,7.9
37:20.0,7.93,7.9
38:20.0,7.93,7.9
38:50.0,7.933,7.9
39:20.0,7.936,7.9
39:50.0,7.937,7.9
40:50.0,7.937,7.9
41:20.0,7.942,7.9
41:50.0,7.954,7.9
42:20.0,7.938,7.9
42:50.0,7.931,7.9
43:20.0,7.914,7.9
43:50.0,7.955,7.9
44:20.0,7.948,7.9
44:50.0,7.966,7.9
45:20.0,7.933,7.9
45:50.0,7.94,7.9
46:20.0,7.959,7.9
46:50.0,7.938,7.9
47:20.0,7.925,7.9
47:50.0,7.925,7.9
48:20.0,7.938,7.9
48:50.0,7.926,7.9
49:20.0,7.921,7.9
49:50.0,7.894,7.9
50:20.0,7.908,7.9
50:50.0,7.931,7.9
51:20.0,7.912,7.9
51:50.0,7.905,7.9
52:20.0,7.943,7.9
52:50.0,7.918,7.9
53:20.0,7.905,7.9
53:50.0,7.924,7.9
54:20.0,7.912,7.9
54:50.0,7.9,7.9
55:20.0,7.917,7.9
55:50.0,7.936,7.9
56:20.0,7.938,7.9
56:50.0,7.912,7.9
57:20.0,7.896,7.9
57:50.0,7.917,7.9
58:20.0,7.917,7.9
59:20.0,7.917,7.9
59:50.0,7.918,7.9
00:20.0,7.918,7.9
00:50.0,7.915,7.9
01:20.0,7.946,7.9
